"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C6,C8,C10,C11,C12,C13","C","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9",""
"C4,C9,C14,C15,C16,C17,C18,C19","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"C5,C7","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C20","EMI cap","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"D1,D2,D7,D8","13V","~","Diode_SMD:D_SMA_Handsoldering","4",""
"D3,D4,D5,D6,D9,D10","20V","~","Diode_SMD:D_SOD-323F","6",""
"J1","T+","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J2","T-","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J3","Vin1_PSU","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J4","Vin1_GND","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J5","Vin2_PSU","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J6","Vin2_GND","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J7,J9","DVM1","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","2",""
"J8,J10,J18,J20,J21,J22","GND","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","6",""
"J11","Power_on LED","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J12","Power_on LED_ret","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J13","CN8","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"J14","CN9","~","Connector_PinHeader_2.54mm:PinHeader_2x15_P2.54mm_Vertical","1",""
"J15","CN7","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","1",""
"J16","CN10","~","Connector_PinHeader_2.54mm:PinHeader_2x17_P2.54mm_Vertical","1",""
"J17","CH1 output","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J19","CH2 output","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","1",""
"J23,J24","Switch_1","~","Connector_Wire:SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm","2",""
"R1,R2,R3,R4,R6,R7,R8,R9,R11,R12,R13,R14,R15,R16","R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","14",""
"R5,R17,R18","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R10","0R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R19,R20,R21,R22,R23,R24","DNF","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36","43R","~","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","12",""
"TR1,TR2","RQ5H020TNTL","","Rafal:SOT-346T","2",""
"U1","RYK-053.3SH","","Rafal:RYK-053.3SH","1",""
"U2","MAX31856","https://datasheets.maximintegrated.com/en/ds/MAX31856.pdf","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","1",""
"U3","ADuM1401xRW","https://www.analog.com/media/en/technical-documentation/data-sheets/ADUM1400_1401_1402.pdf","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","1",""
"U4,U5","TC4427","http://ww1.microchip.com/downloads/en/DeviceDoc/mic4426.pdf","Package_DIP:DIP-8_W7.62mm","2",""
